County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A00101,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N09600,A09600,N07100,A07100,N07180,A07180,N07220,A07220,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
shawano,7846.0,0.0,0.0,0.0,11172.0,WI,19450.0,8830.0,8750.0,1760.0,11620.0,37670.0,10810.0,829421.0,15880.0,606562.0,8490.0,8750.0,3950.0,11881.0,3560.0,8985.0,2650.0,26801.0,1180.0,3510.0,25194.0,2660.0,30101.0,3830.0,65007.0,2560.0,11912.0,2710.0,29357.0,70.0,1112.0,5390.0,426737.0,98674.0,4690.0,22811.0,570.0,533.0,4950.0,17024.0,5370.0,41219.0,4140.0,24975.0,4130.0,10122.0,14690.0,517446.0,170.0,943.0,6130.0,6641.217,550.0,262.0,3170.0,4243.0,420.0,169.0,3110.0,6259.0,2620.0,5519.0,2000.0,2709.0,13100.0,71113.0,14160.0,77250.0,3280.0,9964.0,14710.0,32797.0
sheboygan,21267.0,0.0,0.0,0.0,37673.0,WI,56810.0,26890.0,24840.0,4730.0,29990.0,110180.0,33430.0,3142042.0,47850.0,2213477.0,21920.0,31220.0,14290.0,111963.0,13110.0,94645.0,6120.0,58416.0,940.0,10670.0,187289.0,8060.0,101271.0,11450.0,189188.0,6130.0,27870.0,7800.0,89913.0,260.0,3858.0,19660.0,2063336.0,406373.0,17470.0,110852.0,1770.0,1284.0,18270.0,72549.0,19610.0,190195.0,15160.0,93112.0,16220.0,60353.0,44000.0,2126756.0,910.0,6910.0,18880.0,21969.0,1830.0,750.0,9640.0,13564.0,1310.0,339.0,7460.0,14522.0,6460.0,13204.0,5270.0,7691.0,39920.0,339439.0,41700.0,352996.0,8640.0,47591.0,44390.0,103260.0
st. croix,18567.0,0.0,1.0,0.0,25679.0,WI,41050.0,17960.0,19240.0,3490.0,24880.0,83510.0,26620.0,2792250.0,35380.0,2077315.0,17660.0,19905.0,10120.0,37328.0,9280.0,27949.0,6270.0,73929.0,1290.0,8070.0,110622.0,4770.0,78130.0,8390.0,175037.0,3810.0,20930.0,5110.0,68823.0,240.0,3829.0,19060.0,2162558.0,438779.0,17570.0,122100.0,1220.0,1028.0,17950.0,71151.0,19000.0,197118.0,16160.0,138086.0,15730.0,50617.0,34100.0,1943962.0,1250.0,7354.0,14820.0,20358.0,3010.0,1375.0,8310.0,12017.0,740.0,292.0,4350.0,8211.0,3570.0,7066.0,3020.0,3937.0,31380.0,331675.0,33020.0,346494.0,8410.0,39308.0,30580.0,75185.0
taylor,3174.0,0.0,0.0,0.0,6090.0,WI,8970.0,3990.0,4230.0,720.0,6220.0,18110.0,5540.0,399798.0,7470.0,288711.0,4040.0,4203.0,1580.0,4411.0,1400.0,3588.0,1540.0,14995.0,790.0,1660.0,19859.0,1100.0,12416.0,1520.0,23200.0,1840.0,6734.0,1060.0,10735.0,40.0,765.0,2290.0,204945.0,44137.0,2010.0,11156.0,260.0,160.0,2090.0,7170.0,2270.0,19088.0,1640.0,8921.0,1480.0,3880.0,6820.0,254751.0,100.0,649.0,2990.0,3263.0,310.0,141.0,1530.0,2074.0,190.0,69.0,1480.0,2928.0,1200.0,2453.0,990.0,1453.0,6000.0,36977.0,6610.0,40384.0,1470.0,7448.0,6850.0,16235.0
trempealeau,0.0,8494.0,0.0,4100.0,0.0,WI,15160.0,6970.0,6380.0,1730.0,10800.0,31820.0,11360.0,776526.0,12930.0,540939.0,6110.0,7210.0,2570.0,9618.0,2230.0,7565.0,2060.0,15811.0,1240.0,2280.0,28061.0,1530.0,16143.0,2640.0,43211.0,1360.0,5950.0,1800.0,18933.0,50.0,877.0,3990.0,443138.0,77700.0,3580.0,22481.0,350.0,263.0,3670.0,12674.0,3980.0,35833.0,3100.0,19002.0,2920.0,7595.0,11750.0,447033.0,190.0,1160.0,5140.0,6024.0,620.0,318.0,2970.0,3775.0,270.0,149.0,2050.0,4025.0,1710.0,3463.0,2070.0,3856.0,10200.0,77639.0,10950.0,82548.0,2560.0,10464.0,11760.0,28518.0
vernon,0.0,9224.0,0.0,4418.0,0.0,WI,13260.0,5850.0,6340.0,980.0,8980.0,27190.0,8490.0,598810.0,10420.0,412053.0,6240.0,6586.0,2930.0,7941.0,2420.0,5301.0,2440.0,25047.0,1810.0,2840.0,27324.0,1680.0,18168.0,2800.0,48764.0,1410.0,5817.0,1900.0,19681.0,60.0,659.0,3380.0,321517.0,64302.0,2970.0,15504.0,360.0,260.0,3070.0,10862.0,3380.0,27349.0,2500.0,14574.0,2520.0,7877.0,9620.0,393562.0,110.0,685.0,4060.0,4623.0,500.0,238.0,2080.0,2886.0,300.0,191.0,2130.0,4345.0,1760.0,3641.0,1370.0,1902.0,8570.0,54923.0,9540.0,59783.0,2390.0,7614.0,9600.0,21823.0
vilas,5276.0,0.0,0.0,0.0,8005.0,WI,11390.0,5210.0,5210.0,910.0,6740.0,20250.0,4440.0,538086.0,7910.0,260506.0,5170.0,9721.0,3140.0,19685.0,2910.0,14805.0,2320.0,24551.0,40.0,2660.0,29104.0,2230.0,37495.0,3410.0,75704.0,1420.0,6332.0,2640.0,32899.0,50.0,655.0,3540.0,347053.0,79233.0,2720.0,15256.0,710.0,627.0,3250.0,11854.0,3510.0,29072.0,2510.0,19971.0,2760.0,8488.0,7890.0,359730.0,170.0,1310.0,2820.0,2695.0,210.0,95.0,1100.0,1353.0,200.0,41.0,1920.0,3481.0,1530.0,2954.0,990.0,1186.0,7120.0,56704.0,7950.0,60981.0,2420.0,9795.0,7690.0,16358.0
walworth,19683.0,0.0,856.0,0.0,30301.0,WI,48160.0,23170.0,19890.0,4720.0,28750.0,93560.0,29650.0,2644323.0,40170.0,1813596.0,18380.0,30123.0,10460.0,59709.0,9670.0,46188.0,6730.0,76529.0,720.0,8140.0,129692.0,5810.0,90254.0,9700.0,188759.0,5570.0,28409.0,6640.0,83284.0,220.0,4041.0,17750.0,1882772.0,412608.0,15550.0,106119.0,1810.0,1428.0,16420.0,78592.0,17720.0,190640.0,14070.0,108437.0,13820.0,48996.0,36390.0,1779600.0,1030.0,7609.0,14800.0,18985.0,1570.0,696.0,7840.0,10354.0,820.0,311.0,6710.0,13322.0,5650.0,11742.0,5160.0,7183.0,32580.0,305381.0,34790.0,321055.0,7910.0,38420.0,36860.0,91506.0
washburn,3939.0,0.0,0.0,0.0,4788.0,WI,8190.0,3490.0,3980.0,660.0,4980.0,16030.0,4410.0,369068.0,6320.0,224713.0,3070.0,3839.0,1630.0,8459.0,1470.0,6805.0,1480.0,12746.0,310.0,1410.0,17418.0,1160.0,15092.0,2160.0,47474.0,960.0,4282.0,1540.0,17592.0,30.0,380.0,2280.0,212219.0,48186.0,1910.0,10467.0,340.0,266.0,2120.0,8036.0,2280.0,19391.0,1690.0,11409.0,1740.0,6822.0,5900.0,232888.0,90.0,623.0,2220.0,2362.0,200.0,81.0,1120.0,1367.0,130.0,30.0,1450.0,2919.0,1220.0,2536.0,1040.0,1515.0,5260.0,36027.0,5720.0,38256.0,1400.0,4317.0,6180.0,13776.0
washington,18846.0,0.0,0.0,0.0,56187.0,WI,67510.0,31020.0,31520.0,4570.0,34920.0,130750.0,38060.0,4406468.0,57100.0,3228453.0,31850.0,40796.0,19560.0,91858.0,18010.0,69984.0,8080.0,104627.0,640.0,14620.0,165103.0,9940.0,150821.0,14580.0,256884.0,6730.0,31885.0,10050.0,128007.0,430.0,6380.0,30320.0,3337743.0,679403.0,27390.0,185469.0,2330.0,1762.0,28580.0,124697.0,30280.0,319114.0,24650.0,188977.0,25320.0,80774.0,55150.0,3052136.0,1820.0,11457.0,23450.0,28011.0,3180.0,1389.0,11680.0,16714.0,1550.0,390.0,5800.0,10585.0,4820.0,9261.0,3930.0,5413.0,51360.0,516172.0,53330.0,537292.0,12790.0,51891.0,50310.0,116303.0
