County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A00101,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N09600,A09600,N07100,A07100,N07180,A07180,N07220,A07220,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
fayette,0.0,0.0,23200.0,0.0,23542.0,PA,-90.0,29170.0,-255.0,7120.0,170.0,-890.0,-459.0,101836.0,75.0,60222.0,-1980.0,-5735.0,-22.0,6224.0,-11.0,6158.0,-253.0,6390.0,-29.0,156.0,26630.0,138.0,2498.0,478.0,13492.0,-1129.0,-11773.0,425.0,8843.0,-6.0,210.0,94.0,994131.0,2883.0,126.0,2021.0,-69.0,-254.0,-9.0,995.0,77.0,3611.0,-129.0,-3082.0,-6.0,-370.0,-95.0,81896.0,-15.0,10.0,-705.0,-1259.0,35.0,2.0,-262.0,-370.0,-813.0,-239.0,-71.0,-16.0,-83.0,55.0,-204.0,-146.0,-26.0,13313.0,-45.0,13794.0,53.0,4408.0,-62.0,2296.0
franklin,0.0,0.0,19187.0,0.0,42564.0,PA,-269.0,32570.0,-183.0,7420.0,-483.0,-1089.0,-525.0,128275.0,-29.0,57376.0,-2579.0,-6033.0,-561.0,4914.0,-427.0,5061.0,-14.0,1061.0,26.0,482.0,12007.0,91.0,5017.0,454.0,21229.0,-761.0,-14982.0,542.0,12536.0,-11.0,-234.0,-759.0,1953509.0,-12745.0,-461.0,872.0,-98.0,-111.0,-730.0,-1853.0,-743.0,-993.0,-891.0,-14207.0,-523.0,3246.0,-32.0,110223.0,-29.0,367.0,-807.0,-1084.0,78.0,35.0,-277.0,-320.0,-776.0,-516.0,147.0,1106.0,104.0,1021.0,-258.0,-291.0,320.0,24685.0,245.0,25181.0,487.0,5863.0,-557.0,-1027.0
fulton,0.0,0.0,1695.0,0.0,4397.0,PA,-30.0,3030.0,-11.0,620.0,-46.0,-49.0,-52.0,747.0,-36.0,-845.0,-173.0,-1048.0,10.0,98.0,-4.0,128.0,40.0,461.0,-18.0,20.0,2237.0,33.0,135.0,48.0,1267.0,-176.0,-1852.0,53.0,855.0,-6.0,-2.0,-66.0,120603.0,-831.0,-43.0,-239.0,-14.0,-27.0,-7.0,32.0,-55.0,-240.0,-68.0,-703.0,-47.0,63.0,-72.0,-953.0,-10.0,19.0,-133.0,-204.0,-7.0,-4.0,-29.0,-13.0,-111.0,-94.0,37.0,48.0,35.0,9.0,18.0,-14.0,-38.0,-1118.0,-41.0,-1103.0,72.0,-109.0,-52.0,-470.0
huntingdon,3803.0,0.0,1464.0,0.0,11929.0,PA,-172.0,8410.0,-80.0,1660.0,-87.0,-542.0,-304.0,35381.0,-128.0,11356.0,-954.0,-1486.0,-31.0,1746.0,-41.0,1478.0,-51.0,140.0,-27.0,151.0,4423.0,86.0,1396.0,246.0,6000.0,-320.0,-4852.0,187.0,3404.0,-12.0,67.0,-92.0,321435.0,176.0,-75.0,461.0,-37.0,-64.0,-78.0,180.0,-87.0,593.0,-147.0,-1527.0,-56.0,568.0,-159.0,31534.0,8.0,-33.0,-209.0,-300.0,21.0,12.0,-100.0,-186.0,-176.0,-121.0,-37.0,82.0,14.0,116.0,-65.0,-80.0,-83.0,6530.0,-115.0,6679.0,15.0,1750.0,-127.0,-66.0
indiana,0.0,0.0,13517.0,0.0,21954.0,PA,-310.0,17190.0,-224.0,2820.0,-125.0,-487.0,17.0,52524.0,-265.0,16719.0,-836.0,-4251.0,-20.0,2508.0,43.0,2209.0,-64.0,5998.0,6.0,350.0,19914.0,82.0,1833.0,47.0,4176.0,-188.0,-2936.0,194.0,4741.0,5.0,-11.0,-196.0,779752.0,725.0,-78.0,204.0,-86.0,-107.0,-119.0,575.0,-188.0,570.0,-190.0,-2055.0,-163.0,1265.0,-312.0,40859.0,-13.0,-53.0,-431.0,-422.0,24.0,1.0,-121.0,-153.0,-573.0,-155.0,24.0,415.0,120.0,432.0,41.0,49.0,-290.0,6950.0,-339.0,7686.0,24.0,4306.0,-331.0,1684.0
berks,62810.0,0.0,1766.0,0.0,89175.0,PA,-2158.0,94760.0,-500.0,24910.0,-1422.0,-4281.0,-1592.0,77656.0,-1606.0,157512.0,-9028.0,-14259.0,-156.0,54032.0,64.0,53041.0,-511.0,1931.0,23.0,1242.0,79794.0,438.0,11539.0,1015.0,34167.0,-3114.0,-44602.0,1141.0,29702.0,-31.0,255.0,-1730.0,7067600.0,-16924.0,-1399.0,11097.0,-81.0,-2119.0,-1632.0,-784.0,-1701.0,9609.0,-1928.0,-36342.0,-932.0,11412.0,-1836.0,16087.0,-28.0,1250.0,-2236.0,-1868.0,71.0,46.0,-830.0,-1316.0,-2400.0,-1354.0,467.0,2038.0,321.0,2077.0,-493.0,-548.0,-1187.0,-84149.0,-1446.0,127473.0,1363.0,17570.0,-3373.0,-20474.0
chester,107220.0,0.0,2166.0,0.0,137863.0,PA,438.0,116090.0,187.0,18530.0,-516.0,-3830.0,-3496.0,2725688.0,61.0,745074.0,-10742.0,-24291.0,862.0,212508.0,1291.0,202864.0,314.0,53631.0,18.0,2855.0,1300093.0,1345.0,52964.0,1764.0,62598.0,-2931.0,-48997.0,1738.0,52166.0,22.0,3120.0,-564.0,21707977.0,60350.0,-69.0,58073.0,-262.0,-1116.0,-697.0,6854.0,-545.0,64819.0,-1410.0,-87761.0,-71.0,72815.0,1526.0,2573243.0,-80.0,4200.0,-2063.0,-6367.0,395.0,364.0,-1511.0,-2247.0,-3569.0,-3092.0,126.0,1049.0,107.0,940.0,-1346.0,-2319.0,2163.0,536625.0,2169.0,539877.0,3529.0,93287.0,-2761.0,-18936.0
lebanon,7699.0,0.0,0.0,0.0,36648.0,PA,-492.0,30870.0,-172.0,7050.0,-664.0,-810.0,-86.0,129945.0,-309.0,50299.0,-2625.0,-5797.0,-60.0,10888.0,0.0,10481.0,73.0,4843.0,19.0,354.0,29860.0,167.0,6266.0,324.0,12321.0,-1123.0,-11420.0,559.0,11599.0,7.0,19.0,-662.0,1805411.0,-14350.0,-581.0,2065.0,-46.0,106.0,-744.0,-152.0,-682.0,1849.0,-748.0,-10762.0,-417.0,2463.0,-295.0,118151.0,36.0,356.0,-1112.0,-1418.0,-12.0,-33.0,-351.0,-458.0,-1004.0,-621.0,96.0,1294.0,59.0,1214.0,-108.0,-54.0,-24.0,26146.0,28.0,26944.0,716.0,6574.0,-930.0,-3877.0
montgomery,81164.0,138671.0,356.0,59731.0,105509.0,PA,-33.0,201610.0,298.0,34910.0,-81.0,-1838.0,-1253.0,5413255.0,968.0,1242484.0,-21721.0,135295.0,-20.0,712946.0,946.0,700282.0,-329.0,50158.0,-28.0,4113.0,2382748.0,1554.0,105885.0,3759.0,119399.0,-5352.0,-88628.0,2345.0,88640.0,59.0,7269.0,-1982.0,35774915.0,192539.0,-602.0,109515.0,-647.0,-1041.0,-1531.0,27916.0,-1948.0,140190.0,-2347.0,-117903.0,-1376.0,156688.0,833.0,5099531.0,-14.0,10517.0,-3783.0,-2210.0,315.0,334.0,-1660.0,-2680.0,-5686.0,-3445.0,929.0,4171.0,698.0,3919.0,-408.0,-921.0,1688.0,1071155.0,1523.0,1089723.0,4018.0,81564.0,-2927.0,-26283.0
delaware,82473.0,61562.0,0.0,14039.0,115705.0,PA,-1485.0,135880.0,-369.0,37880.0,-1187.0,-4112.0,-1489.0,1371564.0,-529.0,621613.0,-12182.0,-27490.0,-490.0,79267.0,294.0,71864.0,-345.0,32907.0,-12.0,1571.0,388497.0,537.0,54976.0,1236.0,61339.0,-3510.0,-56740.0,1242.0,43846.0,-39.0,2978.0,-1715.0,16068210.0,-63458.0,-1059.0,18706.0,-315.0,-1660.0,-1767.0,5905.0,-1704.0,28822.0,-1944.0,-64664.0,-1142.0,7692.0,-1029.0,1288578.0,-409.0,-1967.0,-4330.0,-5702.0,161.0,181.0,-818.0,-1515.0,-4077.0,-1503.0,346.0,3386.0,330.0,3428.0,-342.0,-372.0,337.0,315808.0,9.0,321352.0,2069.0,31960.0,-2916.0,-17921.0
