County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A00101,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N09600,A09600,N07100,A07100,N07180,A07180,N07220,A07220,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
delaware,27742.0,37374.0,0.0,55260.0,68167.0,OH,2137.0,32250.0,770.0,6150.0,1188.0,3152.0,808.0,749584.0,1793.0,342498.0,-1308.0,-4719.0,752.0,52578.0,894.0,49528.0,216.0,24852.0,-6.0,1073.0,127014.0,623.0,16170.0,929.0,40863.0,-410.0,-7432.0,828.0,16758.0,98.0,3531.0,343.0,7117151.0,1380.0,376.0,7659.0,81.0,-223.0,134.0,10249.0,349.0,19385.0,-148.0,-32108.0,411.0,8491.0,2276.0,671236.0,-191.0,-311.0,154.0,210.0,211.0,114.0,-49.0,-275.0,-884.0,-321.0,-113.0,202.0,-125.0,91.0,-251.0,-367.0,2450.0,149545.0,2369.0,152730.0,1961.0,25650.0,305.0,-135.0
erie,2510.0,42638.0,1513.0,25020.0,2932.0,OH,-242.0,18390.0,-117.0,4760.0,-474.0,-814.0,-431.0,134048.0,-169.0,17324.0,-1121.0,-3354.0,96.0,11198.0,20.0,11132.0,-99.0,445.0,24.0,205.0,21050.0,98.0,2941.0,403.0,10541.0,-191.0,-5034.0,341.0,6363.0,-6.0,-27.0,-457.0,1030314.0,-9164.0,-365.0,-742.0,-2.0,-42.0,-411.0,-82.0,-423.0,-1288.0,-484.0,-6431.0,-304.0,-667.0,80.0,103243.0,-7.0,146.0,-436.0,-790.0,-53.0,-13.0,-121.0,-143.0,-522.0,-49.0,-87.0,670.0,-70.0,622.0,13.0,30.0,242.0,24030.0,185.0,24612.0,248.0,7581.0,-388.0,-2827.0
fairfield,23311.0,29111.0,0.0,38185.0,46194.0,OH,800.0,27680.0,63.0,7490.0,226.0,578.0,62.0,239329.0,739.0,90233.0,-1586.0,-4120.0,157.0,18802.0,196.0,17879.0,-43.0,12033.0,-14.0,233.0,72666.0,131.0,4711.0,484.0,23317.0,-529.0,-9539.0,487.0,9343.0,19.0,1172.0,-478.0,2559714.0,-8127.0,-292.0,1862.0,-25.0,-2364.0,-548.0,3081.0,-469.0,2665.0,-667.0,-14803.0,-310.0,2554.0,751.0,218081.0,-48.0,62.0,-344.0,-226.0,-3.0,-5.0,-129.0,-146.0,-656.0,-113.0,43.0,683.0,-12.0,655.0,-79.0,-54.0,846.0,40904.0,769.0,42412.0,620.0,7123.0,189.0,-1846.0
fayette,3288.0,4000.0,341.0,6121.0,6639.0,OH,57.0,5860.0,-24.0,1800.0,-141.0,84.0,79.0,31872.0,206.0,14246.0,-264.0,-1213.0,-42.0,702.0,-37.0,579.0,81.0,4531.0,-13.0,26.0,5628.0,-26.0,-398.0,-13.0,1248.0,-369.0,-4648.0,42.0,979.0,3.0,306.0,-238.0,215465.0,-3450.0,-161.0,-447.0,-53.0,-115.0,-243.0,-477.0,-242.0,-939.0,-203.0,-1897.0,-109.0,10.0,75.0,27112.0,-1.0,45.0,-61.0,28.0,9.0,4.0,44.0,65.0,-170.0,-69.0,7.0,151.0,9.0,150.0,20.0,24.0,39.0,5564.0,87.0,6175.0,66.0,3225.0,8.0,236.0
franklin,302619.0,339260.0,15850.0,277196.0,146716.0,OH,1370.0,298950.0,968.0,92260.0,-868.0,-9351.0,-9476.0,2853675.0,3867.0,901592.0,-11730.0,-27451.0,676.0,430218.0,1286.0,187527.0,208.0,117344.0,-42.0,2495.0,813771.0,494.0,42090.0,3403.0,159328.0,-3548.0,-64966.0,2451.0,51609.0,52.0,6809.0,-6472.0,22943393.0,41275.0,-4585.0,65434.0,-559.0,-7505.0,-6306.0,-14996.0,-6482.0,56653.0,-6865.0,-109455.0,-4304.0,106453.0,3919.0,2488994.0,-512.0,9043.0,-5579.0,-228.0,196.0,194.0,-802.0,-837.0,-4967.0,-1105.0,513.0,9582.0,281.0,8827.0,-3300.0,-7576.0,6929.0,500211.0,6489.0,510295.0,5726.0,77752.0,-3445.0,-23834.0
fulton,7404.0,8534.0,695.0,11269.0,12713.0,OH,163.0,8550.0,16.0,1930.0,-60.0,-51.0,-104.0,52694.0,193.0,20034.0,-539.0,-1396.0,105.0,1879.0,75.0,1555.0,56.0,3040.0,7.0,202.0,1840.0,50.0,1314.0,-32.0,4699.0,-204.0,-3379.0,128.0,3048.0,0.0,246.0,-270.0,515110.0,-3632.0,-258.0,403.0,-20.0,68.0,-313.0,-948.0,-268.0,-541.0,-353.0,-3339.0,-233.0,140.0,212.0,44144.0,11.0,144.0,-234.0,-47.0,2.0,5.0,0.0,-25.0,-235.0,-86.0,4.0,244.0,-21.0,270.0,-57.0,-73.0,283.0,9980.0,243.0,10616.0,217.0,3763.0,-10.0,-766.0
gallia,5345.0,5060.0,0.0,6760.0,6805.0,OH,-54.0,4670.0,20.0,1510.0,94.0,-182.0,-148.0,32297.0,-47.0,18088.0,-443.0,-1262.0,-7.0,1950.0,15.0,1757.0,-48.0,321.0,-40.0,43.0,12192.0,63.0,928.0,8.0,2294.0,-95.0,-2260.0,84.0,1485.0,-21.0,-213.0,-181.0,229580.0,-609.0,-166.0,441.0,12.0,-38.0,-156.0,-238.0,-186.0,304.0,-120.0,-1333.0,-96.0,1049.0,-44.0,30168.0,-17.0,53.0,-95.0,-113.0,-33.0,-10.0,-44.0,10.0,-118.0,-11.0,-63.0,53.0,-63.0,112.0,-38.0,-27.0,-48.0,7837.0,-83.0,7689.0,66.0,2071.0,-95.0,-217.0
geauga,12309.0,20264.0,2684.0,60103.0,0.0,OH,201.0,20140.0,-29.0,2810.0,371.0,-394.0,-407.0,126373.0,283.0,25628.0,-1744.0,-7720.0,21.0,24968.0,99.0,25026.0,59.0,-875.0,-18.0,311.0,-2776.0,215.0,9623.0,325.0,15804.0,-365.0,-5390.0,385.0,9483.0,-18.0,851.0,-330.0,3075235.0,-31833.0,-257.0,-3295.0,-83.0,-354.0,-346.0,-1029.0,-334.0,-2809.0,-425.0,-11761.0,-285.0,-17763.0,680.0,130556.0,-26.0,-69.0,-565.0,-2559.0,51.0,20.0,-57.0,-58.0,-684.0,-182.0,-92.0,44.0,-50.0,55.0,-148.0,-252.0,732.0,28326.0,711.0,30437.0,792.0,9268.0,-310.0,-14971.0
greene,24991.0,32243.0,2832.0,46979.0,53935.0,OH,-332.0,32910.0,-63.0,6850.0,-301.0,-1110.0,-546.0,177874.0,-265.0,37250.0,-1499.0,-2668.0,-109.0,15964.0,-48.0,14774.0,-66.0,2573.0,32.0,385.0,30176.0,285.0,4494.0,468.0,27618.0,-569.0,-9200.0,486.0,10438.0,3.0,461.0,-1061.0,3053523.0,-15830.0,-694.0,-162.0,7.0,115.0,-876.0,-1299.0,-1060.0,-810.0,-1131.0,-16614.0,-700.0,2924.0,37.0,164875.0,-168.0,-294.0,-873.0,-727.0,38.0,9.0,-176.0,-181.0,-1003.0,-294.0,20.0,645.0,11.0,633.0,11.0,-96.0,48.0,35039.0,-17.0,36210.0,565.0,5649.0,-733.0,-1664.0
guernsey,7052.0,6868.0,0.0,8477.0,8925.0,OH,183.0,7820.0,-117.0,2040.0,210.0,-273.0,-239.0,172086.0,244.0,21925.0,-341.0,-1287.0,0.0,2558.0,-10.0,2248.0,-123.0,451.0,15.0,151.0,8511.0,-80.0,-2235.0,102.0,1895.0,-283.0,-3354.0,227.0,4208.0,7.0,-192.0,65.0,367802.0,7728.0,67.0,5602.0,-1.0,80.0,13.0,133.0,73.0,5606.0,-62.0,-1312.0,38.0,2987.0,422.0,156177.0,144.0,719.0,-226.0,-139.0,-16.0,-7.0,-63.0,-58.0,-205.0,36.0,-198.0,-151.0,-163.0,-167.0,-95.0,-63.0,491.0,40683.0,373.0,40891.0,391.0,17854.0,-184.0,56.0
