County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A00101,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N09600,A09600,N07100,A07100,N07180,A07180,N07220,A07220,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
columbia,14699.0,0.0,0.0,0.0,13709.0,WI,-26.0,13860.0,57.0,2530.0,-37.0,-72.0,-119.0,79863.0,-24.0,24128.0,-863.0,-2095.0,-24.0,5268.0,29.0,5122.0,20.0,3543.0,-1.0,297.0,29210.0,79.0,4528.0,93.0,3166.0,-785.0,-4567.0,214.0,4685.0,2.0,178.0,-374.0,1031637.0,-3427.0,-346.0,2590.0,37.0,127.0,-352.0,-1276.0,-377.0,1448.0,-388.0,-6146.0,-272.0,1796.0,61.0,77372.0,8.0,637.0,-325.0,-715.0,52.0,21.0,-102.0,-156.0,-384.0,-41.0,19.0,212.0,47.0,203.0,22.0,26.0,120.0,16775.0,67.0,17590.0,258.0,5157.0,-299.0,-403.0
crawford,0.0,5203.0,0.0,2158.0,0.0,WI,-6.0,3720.0,-88.0,610.0,-137.0,-158.0,-77.0,6900.0,18.0,6890.0,-140.0,-668.0,4.0,752.0,7.0,644.0,-2.0,402.0,11.0,11.0,3518.0,72.0,30.0,35.0,1244.0,-104.0,-1431.0,91.0,1138.0,6.0,0.0,-12.0,145931.0,-1668.0,-17.0,-1509.0,8.0,-5.0,-28.0,-152.0,-20.0,-1638.0,-26.0,-529.0,23.0,796.0,42.0,5059.0,0.0,-84.0,-12.0,21.0,-7.0,1.0,-11.0,-29.0,-87.0,-27.0,-45.0,-18.0,-60.0,7.0,-22.0,3.0,101.0,-223.0,75.0,-474.0,55.0,975.0,-56.0,20.0
dane,204185.0,0.0,6.0,81979.0,0.0,WI,1352.0,134920.0,386.0,21130.0,-118.0,-490.0,-1624.0,1311593.0,1430.0,491883.0,-6952.0,-22983.0,936.0,66646.0,1166.0,62767.0,-86.0,52929.0,-37.0,2982.0,256957.0,996.0,29259.0,1128.0,60594.0,-3487.0,-26155.0,1694.0,45207.0,-5.0,2731.0,-1880.0,13170655.0,-607408.0,-677.0,29126.0,-58.0,-1720.0,-1030.0,6781.0,-1814.0,35098.0,-1816.0,-68881.0,-591.0,28106.0,2583.0,1159666.0,49.0,-413.0,-1165.0,85.0,250.0,234.0,-503.0,-857.0,-2431.0,-700.0,223.0,1681.0,89.0,1621.0,-741.0,-1433.0,3079.0,261475.0,2779.0,265319.0,3094.0,57016.0,-1388.0,-10736.0
dodge,15206.0,0.0,0.0,0.0,26924.0,WI,180.0,19950.0,-112.0,3680.0,-275.0,-195.0,-169.0,207568.0,236.0,37825.0,-1339.0,-3330.0,-14.0,7516.0,86.0,7570.0,-119.0,1922.0,-7.0,645.0,54283.0,106.0,2218.0,447.0,10512.0,-1361.0,-7258.0,370.0,6308.0,4.0,-128.0,-593.0,1367426.0,-6057.0,-491.0,2569.0,-13.0,108.0,-520.0,-2464.0,-574.0,-9.0,-646.0,-9138.0,-314.0,1790.0,265.0,192993.0,22.0,383.0,-319.0,-882.0,16.0,20.0,-213.0,-413.0,-468.0,-152.0,124.0,585.0,58.0,555.0,52.0,160.0,252.0,49923.0,184.0,50463.0,393.0,5665.0,-110.0,-936.0
door,8544.0,0.0,0.0,0.0,8636.0,WI,59.0,7290.0,21.0,990.0,-18.0,-114.0,-175.0,104917.0,13.0,13137.0,-515.0,-2205.0,186.0,6002.0,175.0,5958.0,-50.0,5854.0,-33.0,198.0,69729.0,88.0,1246.0,82.0,4226.0,-469.0,-5440.0,179.0,4579.0,0.0,145.0,-195.0,591567.0,1097.0,-140.0,345.0,-40.0,14.0,-139.0,-691.0,-187.0,92.0,-168.0,-3203.0,-151.0,4347.0,192.0,98986.0,15.0,-300.0,-106.0,-92.3180000000002,39.0,5.0,-52.0,-18.0,-163.0,-128.0,-66.0,-106.0,-71.0,-76.0,-75.0,-129.0,288.0,15834.0,231.0,16318.0,91.0,6359.0,-12.0,-74.0
douglas,13381.0,0.0,1.0,0.0,8936.0,WI,38.0,9950.0,-23.0,2140.0,89.0,-131.0,-116.0,67736.0,73.0,23501.0,-275.0,-1230.0,-31.0,2662.0,-44.0,1590.0,-83.0,846.0,-3.0,150.0,20464.0,12.0,-922.0,23.0,5328.0,-304.0,-3331.0,129.0,2884.0,-14.0,123.0,-269.0,553354.0,-680.0,-205.0,1736.0,-20.0,-347.0,-215.0,-556.0,-277.0,905.0,-219.0,-2344.0,-235.0,-194.0,151.0,58447.0,12.0,122.0,-120.0,98.0,49.0,18.0,-65.0,-131.0,-265.0,-94.0,35.0,139.0,3.0,107.0,26.0,55.0,156.0,12287.0,86.0,12468.0,55.0,1665.0,23.0,651.0
dunn,0.0,12673.0,0.0,7913.0,0.0,WI,162.0,8610.0,-37.0,1490.0,-39.0,-34.0,-152.0,59002.0,227.0,20787.0,-645.0,-1899.0,74.0,1948.0,22.0,1830.0,-80.0,-1301.0,-14.0,260.0,13404.0,8.0,-54.0,139.0,4436.0,-466.0,-3164.0,152.0,2912.0,15.0,367.0,-243.0,542612.0,-4944.0,-247.0,-679.0,13.0,107.0,-220.0,-987.0,-243.0,-2345.0,-258.0,-3604.0,-186.0,606.0,219.0,58348.0,15.0,-10.0,-153.0,-290.0,-32.0,3.0,-18.0,11.0,-202.0,-83.0,35.0,188.0,25.0,179.0,-14.0,-53.0,265.0,11133.0,197.0,11588.0,199.0,4402.0,2.0,-902.0
eau claire,0.0,33641.0,0.0,17720.0,0.0,WI,176.0,24100.0,-58.0,3920.0,-36.0,-246.0,-318.0,-493996.0,208.0,44296.0,-1948.0,-4573.0,7.0,8216.0,40.0,6537.0,-3.0,6804.0,32.0,573.0,54500.0,118.0,4056.0,208.0,6554.0,-1022.0,-7130.0,287.0,7232.0,13.0,296.0,-432.0,1711901.0,-76175.0,-439.0,1554.0,21.0,162.0,-457.0,-977.0,-435.0,-64389.0,-567.0,-8578.0,-290.0,-2394.0,385.0,-436714.0,53.0,797.0,-437.0,-3261.0,72.0,71.0,2.0,-13.0,-626.0,-162.0,-1.0,157.0,6.0,208.0,-189.0,-147.0,592.0,40501.0,529.0,41238.0,533.0,10893.0,-228.0,-1558.0
florence,868.0,0.0,0.0,0.0,1506.0,WI,2.0,960.0,-19.0,140.0,-16.0,-74.0,-22.0,4653.0,33.0,1212.0,-16.0,-185.0,-1.0,287.0,32.0,175.0,-13.0,-261.0,-7.0,-16.0,173.0,6.0,44.0,10.0,375.0,-45.0,-348.0,19.0,325.0,-0.0001,-0.0001,-43.0,51781.0,-321.0,-25.0,139.0,2.0,4.0,-43.0,-108.0,-43.0,113.0,-40.0,-313.0,-24.0,28.0,39.0,2983.0,13.0,74.0,0.0,-13.0,10.0,-1.0,1.0,-6.0,-19.0,-18.0,7.0,51.0,7.0,33.0,13.0,13.0,45.0,545.0,18.0,591.0,15.0,233.0,-8.0,-74.0
fond du lac,16050.0,0.0,0.0,0.0,33412.0,WI,186.0,23680.0,-70.0,4290.0,49.0,-204.0,-254.0,166087.0,176.0,48777.0,-1686.0,-3867.0,-18.0,11748.0,60.0,11483.0,-64.0,7497.0,-5.0,528.0,29021.0,231.0,6500.0,547.0,13724.0,-1718.0,-8524.0,380.0,8393.0,-6.0,341.0,-512.0,1669589.0,-6666.0,-374.0,1891.0,-40.0,50.0,-534.0,-567.0,-502.0,1937.0,-672.0,-9938.0,-376.0,296.0,313.0,148466.0,-8.0,624.0,-449.0,-806.0,47.0,17.0,-178.0,-258.0,-529.0,-202.0,77.0,582.0,25.0,466.0,47.0,89.0,309.0,36205.0,320.0,36960.0,302.0,9338.0,-36.0,-372.0
