STATE ABBREVIATION,D,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME(f),CANDIDATE NAME,PARTY,(I),GENERAL VOTES 
NV,01,Reuben,D'Silva,reuben dsilva,"D'Silva, Reuben",OTHER,0,13897
NV,01,Kamau A. ,Bakari,kamau bakari,"Bakari, Kamau A. ",OTHER,0,3744
NV,02,Mark E.,Amodei,mark amodei,"Amodei, Mark E.",R,1,182676
NV,02,"H. D. ""Chip""",Evans,h evans,"Evans, H. D. ""Chip""",D,0,115722
NV,02,John H.,Everhart,john everhart,"Everhart, John H.",OTHER,0,8693
NV,02,Drew ,Knight,drew knight,"Knight, Drew ",OTHER,0,6245
NV,03,Jacky,Rosen,jacky rosen,"Rosen, Jacky",D,0,146869
NV,03,Danny,Tarkanian,danny tarkanian,"Tarkanian, Danny",R,0,142926
NV,03,Warren,Markowitz,warren markowitz,"Markowitz, Warren",OTHER,0,11602
NV,03,David,Goossen,david goossen,"Goossen, David",OTHER,0,9566
NV,04,Ruben,Kihuen,ruben kihuen,"Kihuen, Ruben",D,0,128985
NV,04,Cresent,Hardy,cresent hardy,"Hardy, Cresent",R,1,118328
NV,04,Steve,Brown,steve brown,"Brown, Steve",OTHER,0,10206
NV,04,Mike ,Little,mike little,"Little, Mike ",OTHER,0,8327
NH,01,Carol ,Shea-Porter,carol sheaporter,"Shea-Porter, Carol ",D,1,162080
NH,01,Frank,Guinta,frank guinta,"Guinta, Frank",R,0,157176
NH,01,Rich,Ashooh,rich ashooh,"Ashooh, Rich",OTHER,0,55
NH,01,Shawn P.,O'Connor,shawn oconnor,"O'Connor, Shawn P.",OTHER,0,34735
NH,01,Brendan,Kelly,brendan kelly,"Kelly, Brendan",OTHER,0,6074
NH,01,Robert,Lombardo,robert lombardo,"Lombardo, Robert",OTHER,0,5507
NH,01,John,Potucek,john potucek,"Potucek, John",OTHER,0,163
NH,02,Ann McLane,Kuster,ann kuster,"Kuster, Ann McLane",D,1,174495
NH,02,Jim,Lawrence,jim lawrence,"Lawrence, Jim",R,0,158973
NH,02,John J.,Babiarz,john babiarz,"Babiarz, John J.",OTHER,0,17088
NJ,01,Donald W.,Norcross,donald norcross,"Norcross, Donald W.",D,1,183231
NJ,01,Bob,Patterson,bob patterson,"Patterson, Bob",R,0,112388
NJ,01,Scot John,Tomaszewski,scot tomaszewski,"Tomaszewski, Scot John",OTHER,0,5473
NJ,01,"William F., IV",Sihr,william sihr,"Sihr, William F., IV",OTHER,0,2410
NJ,01,Michael ,Berman,michael berman,"Berman, Michael ",OTHER,0,1971
NJ,02,Frank A.,LoBiondo,frank lobiondo,"LoBiondo, Frank A.",R,1,176338
NJ,02,David H.,Cole,david cole,"Cole, David H.",D,0,110838
NJ,02,John,Ordille,john ordille,"Ordille, John",OTHER,0,3773
NJ,02,James,Keenan,james keenan,"Keenan, James",OTHER,0,2653
NJ,02,Steven,Fenichel,steven fenichel,"Fenichel, Steven",OTHER,0,1574
NJ,02,Eric,Beechwood,eric beechwood,"Beechwood, Eric",OTHER,0,1387
NJ,02,Gabriel Brian,Franco,gabriel franco,"Franco, Gabriel Brian",OTHER,0,1232
NJ,03,Tom,MacArthur,tom macarthur,"MacArthur, Tom",R,1,194596
NJ,03,Frederick John,LaVergne,frederick lavergne,"LaVergne, Frederick John",D,0,127526
NJ,03,"Lawrence W., Jr.",Berlinski,lawrence berlinski,"Berlinski, Lawrence W., Jr.",OTHER,0,5938
NJ,04,Christopher H.,Smith,christopher smith,"Smith, Christopher H.",R,1,211992
NJ,04,Lorna,Phillipson,lorna phillipson,"Phillipson, Lorna",D,0,111532
NJ,04,Hank,Schroeder,hank schroeder,"Schroeder, Hank",OTHER,0,5840
NJ,04,Jeremy,Marcus,jeremy marcus,"Marcus, Jeremy",OTHER,0,3320
NJ,05,Joshua S.,Gottheimer,joshua gottheimer,"Gottheimer, Joshua S.",D,0,172587
NJ,05,Scott,Garrett,scott garrett,"Garrett, Scott",R,1,157690
NJ,05,Claudio,Belusic,claudio belusic,"Belusic, Claudio",OTHER,0,7424
NJ,06,"Frank, Jr.",Pallone,frank pallone,"Pallone, Frank, Jr.",D,1,167895
NJ,06,Brent,Sonnek-Schmelz,brent sonnekschmelz,"Sonnek-Schmelz, Brent",R,0,91908
NJ,06,Rajit B.,Malliah,rajit malliah,"Malliah, Rajit B.",OTHER,0,1912
NJ,06,Judith ,Shamy,judith shamy,"Shamy, Judith ",OTHER,0,1720
NJ,07,Leonard,Lance,leonard lance,"Lance, Leonard",R,1,185850
NJ,07,Peter,Jacob,peter jacob,"Jacob, Peter",D,0,148188
NJ,07,Dan,O'Neill,dan oneill,"O'Neill, Dan",OTHER,0,5343
NJ,07,"Arthur T., Jr.",Haussmann,arthur haussmann,"Haussmann, Arthur T., Jr.",OTHER,0,4254
NJ,08,Albio,Sires,albio sires,"Sires, Albio",D,1,134733
NJ,08,Agha,Khan,agha khan,"Khan, Agha",R,0,32337
NJ,08,Pablo ,Olivera,pablo olivera,"Olivera, Pablo ",OTHER,0,4381
NJ,08,Dan,Delaney,dan delaney,"Delaney, Dan",OTHER,0,3438
NJ,09,"Bill, Jr.",Pascrell,bill pascrell,"Pascrell, Bill, Jr.",D,1,162642
NJ,09,Hector L.,Castillo,hector castillo,"Castillo, Hector L.",R,0,65376
NJ,09,Diego,Rivera,diego rivera,"Rivera, Diego",OTHER,0,3327
NJ,09,Jeff,Boss,jeff boss,"Boss, Jeff",OTHER,0,1897
NJ,10,"Donald M., Jr.",Payne,donald payne,"Payne, Donald M., Jr.",D,1,190856
NJ,10,David H.,Pinckney,david pinckney,"Pinckney, David H.",R,0,26450
NJ,10,Joanne,Miller,joanne miller,"Miller, Joanne",OTHER,0,3719
NJ,10,Aaron Walter,Fraser,aaron fraser,"Fraser, Aaron Walter",OTHER,0,1746
NJ,11,Rodney P.,Frelinghuysen,rodney frelinghuysen,"Frelinghuysen, Rodney P.",R,1,194299
NJ,11,Joseph M.,Wenzel,joseph wenzel,"Wenzel, Joseph M.",D,0,130162
NJ,11,Thomas,Depasquale,thomas depasquale,"Depasquale, Thomas",OTHER,0,7056
NJ,11,Jeff,Hetrick,jeff hetrick,"Hetrick, Jeff",OTHER,0,3475
NJ,12,Bonnie Watson,Coleman,bonnie coleman,"Coleman, Bonnie Watson",D,1,181430
NJ,12,Steven J.,Uccio,steven uccio,"Uccio, Steven J.",R,0,92407
NJ,12,R. Edward,Forchion,r forchion,"Forchion, R. Edward",OTHER,0,6094
NJ,12,Robert,Shapiro,robert shapiro,"Shapiro, Robert",OTHER,0,2775
NJ,12,Thomas ,Fitzpatrick,thomas fitzpatrick,"Fitzpatrick, Thomas ",OTHER,0,2482
NJ,12,Steven  ,Welzer,steven welzer,"Welzer, Steven  ",OTHER,0,2135
NJ,12,Michael R.,Bollentin,michael bollentin,"Bollentin, Michael R.",OTHER,0,1311
NM,01,Michelle,Lujan Grisham,michelle lujan grisham,"Lujan Grisham, Michelle",D,1,181088
NM,01,Richard Gregory,Priem,richard priem,"Priem, Richard Gregory",R,0,96879
NM,02,Steve,Pearce,steve pearce,"Pearce, Steve",R,1,143515
NM,02,Merrie Lee,Soules,merrie soules,"Soules, Merrie Lee",D,0,85232
NM,02,Jack A.,McGrann,jack mcgrann,"McGrann, Jack A.",OTHER,0,70
NM,03,Ben R,Lujan,ben lujan,"Lujan, Ben R",D,1,170612
NM,03,Michael H.,Romero,michael romero,"Romero, Michael H.",R,0,102730
NY,01,Lee M.,Zeldin,lee zeldin,"Zeldin, Lee M.",R,1,158409
NY,01,Lee M.,Zeldin,lee zeldin,"Zeldin, Lee M.",OTHER,1,23327
NY,01,Lee M.,Zeldin,lee zeldin,"Zeldin, Lee M.",OTHER,1,843
NY,01,Lee M.,Zeldin,lee zeldin,"Zeldin, Lee M.",OTHER,1,5920
NY,01,Anna E.,Throne-Holst,anna throneholst,"Throne-Holst, Anna E.",D,0,126635
NY,01,Anna E.,Throne-Holst,anna throneholst,"Throne-Holst, Anna E.",OTHER,0,2496
NY,01,Anna E.,Throne-Holst,anna throneholst,"Throne-Holst, Anna E.",OTHER,0,6147
NY,02,Peter T. ,King,peter king,"King, Peter T. ",OTHER,1,157571
NY,02,Peter T. ,King,peter king,"King, Peter T. ",OTHER,0,21810
NY,02,Peter T. ,King,peter king,"King, Peter T. ",OTHER,0,2125
NY,02,Du Wayne,Gregory,du gregory,"Gregory, Du Wayne",D,0,102270
NY,02,Du Wayne,Gregory,du gregory,"Gregory, Du Wayne",OTHER,0,3213
NY,02,Du Wayne,Gregory,du gregory,"Gregory, Du Wayne",OTHER,0,1438
NY,02,Du Wayne,Gregory,du gregory,"Gregory, Du Wayne",OTHER,0,4017
NY,03,Thomas R.,Suozzi,thomas suozzi,"Suozzi, Thomas R.",D,0,171775
NY,03,Jack M.,Martins,jack martins,"Martins, Jack M.",R,0,133954
NY,03,Jack M.,Martins,jack martins,"Martins, Jack M.",OTHER,0,1940
NY,03,Jack M.,Martins,jack martins,"Martins, Jack M.",OTHER,0,16410
NY,04,Kathleen M.,Rice,kathleen rice,"Rice, Kathleen M.",D,1,181861
NY,04,Kathleen M.,Rice,kathleen rice,"Rice, Kathleen M.",OTHER,1,4562
NY,04,David H.,Gurfein,david gurfein,"Gurfein, David H.",OTHER,0,111246
NY,04,David H.,Gurfein,david gurfein,"Gurfein, David H.",OTHER,0,14137
NY,04,David H.,Gurfein,david gurfein,"Gurfein, David H.",OTHER,0,1055
NY,05,Gregory W.,Meeks,gregory meeks,"Meeks, Gregory W.",D,1,197852
NY,05,Gregory W.,Meeks,gregory meeks,"Meeks, Gregory W.",OTHER,1,1963
NY,05,Michael A.,O'Reilly,michael oreilly,"O'Reilly, Michael A.",R,0,26791
NY,05,Michael A.,O'Reilly,michael oreilly,"O'Reilly, Michael A.",OTHER,0,3521
NY,05,Frank,Francois,frank francois,"Francois, Frank",OTHER,0,3587
NY,06,Grace ,Meng,grace meng,"Meng, Grace ",D,1,131463
NY,06,Grace ,Meng,grace meng,"Meng, Grace ",OTHER,1,5043
NY,06,Danniel S.,Maio,danniel maio,"Maio, Danniel S.",R,0,43770
NY,06,Danniel S.,Maio,danniel maio,"Maio, Danniel S.",OTHER,0,1972
NY,06,Danniel S.,Maio,danniel maio,"Maio, Danniel S.",OTHER,0,4875
NY,06,Haris,Bhatti,haris bhatti,"Bhatti, Haris",OTHER,0,2123
NY,07,Nydia M.,Velazquez,nydia velazquez,"Velazquez, Nydia M.",D,1,165819
NY,07,Nydia M.,Velazquez,nydia velazquez,"Velazquez, Nydia M.",OTHER,1,6327
NY,07,Allan E.,Romaguera,allan romaguera,"Romaguera, Allan E.",R,0,14941
NY,07,Allan E.,Romaguera,allan romaguera,"Romaguera, Allan E.",OTHER,0,2537
NY,08,Hakeem S.,Jeffries,hakeem jeffries,"Jeffries, Hakeem S.",D,1,203235
