STATE ABBREVIATION,D,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME(f),CANDIDATE NAME,PARTY,(I),GENERAL VOTES 
MO,02,Martin,Schulte,martin schulte,"Schulte, Martin",OTHER,0,11647
MO,02,Gina,Bufe,gina bufe,"Bufe, Gina",OTHER,0,4
MO,03,Blaine,Luetkemeyer,blaine luetkemeyer,"Luetkemeyer, Blaine",R,1,282866
MO,03,Megan,Rezabek,megan rezabek,"Rezabek, Megan",D,0,116095
MO,03,"Leonard J., II",Steinman,leonard steinman,"Steinman, Leonard J., II",OTHER,0,8344
MO,03,Thomas (Tom),Clapp,thomas clapp,"Clapp, Thomas (Tom)",OTHER,0,43
MO,04,Vicky ,Hartzler,vicky hartzler,"Hartzler, Vicky ",R,1,245247
MO,04,Lindsey ,Simmons,lindsey simmons,"Simmons, Lindsey ",D,0,107635
MO,04,Steven K.,Koonse,steven koonse,"Koonse, Steven K.",OTHER,0,9954
MO,05,"Emanuel, II",Cleaver,"emanuel, cleaver","Cleaver, Emanuel, II",D,1,207180
MO,05,Ryan,Derks,ryan derks,"Derks, Ryan",R,0,135934
MO,05,Robin,Dominick,robin dominick,"Dominick, Robin",OTHER,0,9272
MO,05,Antwain,Winters,antwain winters,"Winters, Antwain",OTHER,0,41
MO,05,Emmanuel,Dorn,emmanuel dorn,"Dorn, Emmanuel",OTHER,0,2
MO,05,Billy,Ballard,billy ballard,"Ballard, Billy",OTHER,0,1
MO,06,Sam,Graves,sam graves,"Graves, Sam",R,1,258709
MO,06,Gena L. ,Ross,gena ross,"Ross, Gena L. ",D,0,118926
MO,06,Jim ,Higgins,jim higgins,"Higgins, Jim ",OTHER,0,8144
MO,07,Billy,Long,billy long,"Long, Billy",R,1,254318
MO,07,Teresa,Montseny,teresa montseny,"Montseny, Teresa",D,0,98111
MO,07,Kevin ,Craig,kevin craig,"Craig, Kevin ",OTHER,0,15573
MO,07,Audrey,Richards,audrey richards,"Richards, Audrey",OTHER,0,1279
MO,07,Dennis,Davis,dennis davis,"Davis, Dennis",OTHER,0,2
MO,08,Jason ,Smith,jason smith,"Smith, Jason ",R,1,253811
MO,08,Kathy,Ellis,kathy ellis,"Ellis, Kathy",D,0,70561
MO,08,Tom,Schmitz,tom schmitz,"Schmitz, Tom",OTHER,0,5854
MT,00,Matt,Rosendale,matt rosendale,"Rosendale, Matt",R,0,339169
MT,00,Kathleen,Williams,kathleen williams,"Williams, Kathleen",D,0,262340
MT,00,John,Gibney,john gibney,"Gibney, John",OTHER,0,#
NE,01,Jeff,Fortenberry,jeff fortenberry,"Fortenberry, Jeff",R,1,189006
NE,01,Kate ,Bolz,kate bolz,"Bolz, Kate ",D,0,119622
NE,01,Dennis B.,Grace,dennis grace,"Grace, Dennis B.",OTHER,0,8938
NE,02,Donald,Bacon,donald bacon,"Bacon, Donald",R,1,171071
NE,02,Kara,Eastman,kara eastman,"Eastman, Kara",D,0,155706
NE,02,Tyler,Schaeffer,tyler schaeffer,"Schaeffer, Tyler",OTHER,0,10185
NE,03,Adrian,Smith,adrian smith,"Smith, Adrian",R,1,225157
NE,03,"Mark, Jr.",Elworth,"mark, elworth","Elworth, Mark, Jr.",D,0,50690
NE,03,Dustin C.,Hobbs,dustin hobbs,"Hobbs, Dustin C.",OTHER,0,10923
NV,01,Dina,Titus,dina titus,"Titus, Dina",D,1,137868
NV,01,Joyce,Bentley,joyce bentley,"Bentley, Joyce",R,0,74490
NV,01,Kamau ,Bakari,kamau bakari,"Bakari, Kamau ",OTHER,0,6190
NV,01,"Robert Van, Jr.",Strawder,robert strawder,"Strawder, Robert Van, Jr.",OTHER,0,4665
NV,02,Mark E.,Amodei,mark amodei,"Amodei, Mark E.",R,1,216078
NV,02,Patricia,Ackerman,patricia ackerman,"Ackerman, Patricia",D,0,155780
NV,02,Janine,Hansen,janine hansen,"Hansen, Janine",OTHER,0,10815
NV,03,Susie,Lee,susie lee,"Lee, Susie",D,1,203421
NV,03,"Dan ""Big Dan""",Rodimer,dan rodimer,"Rodimer, Dan ""Big Dan""",R,0,190975
NV,03,Steve,Brown,steve brown,"Brown, Steve",OTHER,0,12315
NV,03,"Ed S., II",Bridges,ed bridges,"Bridges, Ed S., II",OTHER,0,10541
NV,04,Steven,Horsford,steven horsford,"Horsford, Steven",D,1,168457
NV,04,Jim,Marchant,jim marchant,"Marchant, Jim",R,0,152284
