,STATE ABBREVIATION,D,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME(f),CANDIDATE NAME,PARTY,(I),GENERAL VOTES 
1188,VA,07 - FULL TERM,"James A., Jr.",Carr,james carr,"Carr, James A., Jr.",OTHER,0,5086
1189,VA,07 - UNEXPIRED TERM,Dave A.,Brat,dave brat,"Brat, Dave A.",R,0,148841
1190,VA,07 - UNEXPIRED TERM,"John K. ""Jack""",Trammell,john trammell,"Trammell, John K. ""Jack""",D,0,91236
1191,VA,08,"Donald S., Jr.",Beyer,donald beyer,"Beyer, Donald S., Jr.",D,0,128102
1192,VA,08,Micah K.,Edmond,micah edmond,"Edmond, Micah K.",R,0,63810
1193,VA,08,Gwendolyn J. ,Beck,gwendolyn beck,"Beck, Gwendolyn J. ",OTHER,0,5420
1194,VA,08,Jeffrey S.,Carson,jeffrey carson,"Carson, Jeffrey S.",OTHER,0,4409
1195,VA,08,"Gerard C. ""Gerry,"" III",Blais,gerard blais,"Blais, Gerard C. ""Gerry,"" III",OTHER,0,963
1196,VA,09,H. Morgan ,Griffith,h. griffith,"Griffith, H. Morgan ",R,1,117465
1197,VA,09,"William R., Jr.",Carr,william carr,"Carr, William R., Jr.",OTHER,0,39412
1198,VA,10,Barbara J.,Comstock,barbara comstock,"Comstock, Barbara J.",R,0,125914
1199,VA,10,John W.,Foust,john foust,"Foust, John W.",D,0,89957
1200,VA,10,William B.,Redpath,william redpath,"Redpath, William B.",OTHER,0,3393
1201,VA,10,Brad A.,Eickholt,brad eickholt,"Eickholt, Brad A.",OTHER,0,2442
1202,VA,10,Dianne L.,Blais,dianne blais,"Blais, Dianne L.",OTHER,0,946
1203,VA,11,"Gerald E. ""Gerry""",Connolly,gerald connolly,"Connolly, Gerald E. ""Gerry""",D,1,106780
1204,VA,11,Suzanne K.,Scholte,suzanne scholte,"Scholte, Suzanne K.",R,0,75796
1205,VA,11,Marc M.,Harrold,marc harrold,"Harrold, Marc M.",OTHER,0,3264
1206,VA,11,Joe F.,Galdo,joe galdo,"Galdo, Joe F.",OTHER,0,1739
1207,WA,01,Suzan,DelBene,suzan delbene,"DelBene, Suzan",D,1,124151
1208,WA,01,Pedro,Celis,pedro celis,"Celis, Pedro",R,0,101428
1209,WA,02,Rick,Larsen,rick larsen,"Larsen, Rick",D,1,122173
1210,WA,02,B.J. ,Guillot,b.j. guillot,"Guillot, B.J. ",R,0,79518
1211,WA,03,Jaime Herrera,Beutler,jaime beutler,"Beutler, Jaime Herrera",R,1,124796
1212,WA,03,Bob,Dingethal,bob dingethal,"Dingethal, Bob",D,0,78018
1213,WA,04,Dan,Newhouse,dan newhouse,"Newhouse, Dan",R,0,77772
1214,WA,04,Clint,Didier,clint didier,"Didier, Clint",R,0,75307
1215,WA,05,Cathy McMorris,Rodgers,cathy rodgers,"Rodgers, Cathy McMorris",R,1,135470
1216,WA,05,Joseph (Joe),Pakootas,joseph pakootas,"Pakootas, Joseph (Joe)",D,0,87772
1217,WA,06,Derek ,Kilmer,derek kilmer,"Kilmer, Derek ",D,1,141265
1218,WA,06,Marty,McClendon,marty mcclendon,"McClendon, Marty",R,0,83025
1219,WA,07,Jim,McDermott,jim mcdermott,"McDermott, Jim",D,1,203954
1220,WA,07,Craig ,Keller,craig keller,"Keller, Craig ",R,0,47921
1221,WA,08,Dave,Reichert,dave reichert,"Reichert, Dave",R,1,125741
1222,WA,08,Jason,Ritchie,jason ritchie,"Ritchie, Jason",D,0,73003
1223,WA,09,Adam,Smith,adam smith,"Smith, Adam",D,1,118132
1224,WA,09,Doug,Basler,doug basler,"Basler, Doug",R,0,48662
1225,WA,10,Denny,Heck,denny heck,"Heck, Denny",D,1,99279
1226,WA,10,Joyce,McDonald,joyce mcdonald,"McDonald, Joyce",R,0,82213
1227,WV,01,David B. ,McKinley,david mckinley,"McKinley, David B. ",R,1,92491
1228,WV,01,"Glen B., III",Gainer,glen gainer,"Gainer, Glen B., III",D,0,52109
1229,WV,01,Chuck,Wood,chuck wood,"Wood, Chuck",OTHER,0,137
1230,WV,02,Alex X.,Mooney,alex mooney,"Mooney, Alex X.",R,0,72619
1231,WV,02,Robert Lawrence ,Fluharty,robert fluharty,"Fluharty, Robert Lawrence ",OTHER,0,9
1232,WV,02,Nick,Casey,nick casey,"Casey, Nick",D,0,67687
1233,WV,02,Ed,Rabel,ed rabel,"Rabel, Ed",OTHER,0,6250
1234,WV,02,Davy,Jones,davy jones,"Jones, Davy",OTHER,0,7682
1235,WV,02,Liz,Sullivan,liz sullivan,"Sullivan, Liz",OTHER,0,3
1236,WV,03,Evan,Jenkins,evan jenkins,"Jenkins, Evan",R,0,77713
1237,WV,03,"Nick J., II",Rahall,nick rahall,"Rahall, Nick J., II",D,1,62688
1238,WI,01,Paul,Ryan,paul ryan,"Ryan, Paul",R,1,182316
1239,WI,01,Rob,Zerban,rob zerban,"Zerban, Rob",D,0,105552
1240,WI,01,Keith R.,Deschler,keith deschler,"Deschler, Keith R.",OTHER,0,29
1241,WI,02,Mark,Pocan,mark pocan,"Pocan, Mark",D,1,224920
1242,WI,02,Peter,Theron,peter theron,"Theron, Peter",R,0,103619
1243,WI,03,Ron ,Kind,ron kind,"Kind, Ron ",D,1,155368
1244,WI,03,Tony,Kurtz,tony kurtz,"Kurtz, Tony",R,0,119540
1245,WI,03,Ken,Van Doren,ken van doren,"Van Doren, Ken",OTHER,0,128
1246,WI,04,Gwen,Moore,gwen moore,"Moore, Gwen",D,1,179045
1247,WI,04,Dan,Sebring,dan sebring,"Sebring, Dan",R,0,68490
1248,WI,04,Robert R.,Raymond,robert raymond,"Raymond, Robert R.",OTHER,0,7002
1249,WI,05,"F. James., Jr.",Sensenbrenner,f. sensenbrenner,"Sensenbrenner, F. James., Jr.",R,1,231160
1250,WI,05,Chris,Rockwood,chris rockwood,"Rockwood, Chris",D,0,101190
1251,WI,06,Glenn ,Grothman,glenn grothman,"Grothman, Glenn ",R,0,169767
1252,WI,06,Mark L.,Harris,mark harris,"Harris, Mark L.",D,0,122212
1253,WI,06,Gus,Fahrendorf,gus fahrendorf,"Fahrendorf, Gus",OTHER,0,6865
1254,WI,07,Sean,Duffy,sean duffy,"Duffy, Sean",R,1,169891
1255,WI,07,John,Schiess,john schiess,"Schiess, John",OTHER,0,5
1256,WI,07,Kelly ,Westlund,kelly westlund,"Westlund, Kelly ",D,0,112949
1257,WI,07,Lawrence,Dale,lawrence dale,"Dale, Lawrence",OTHER,0,3686
1258,WI,07,Rob,Taylor,rob taylor,"Taylor, Rob",OTHER,0,30
1259,WI,08,Reid J.,Ribble,reid ribble,"Ribble, Reid J.",R,1,188553
1260,WI,08,Ron,Gruett,ron gruett,"Gruett, Ron",D,0,101345
1261,WY,00,Cynthia,Lummis,cynthia lummis,"Lummis, Cynthia",R,1,113038
1262,WY,00,Richard,Grayson,richard grayson,"Grayson, Richard",D,0,37803
1263,WY,00,Richard,Brubaker,richard brubaker,"Brubaker, Richard",OTHER,0,7112
1264,WY,00,Daniel Clyde,Cummings,daniel cummings,"Cummings, Daniel Clyde",OTHER,0,6749
